Prime,Semantics,Contrast,Condition,MeanAffectivity
The nurse injected the patient,Neutral sentence,50,New,-0.511627907
Bobby ate the boar,Neutral sentence,50,New,-0.955555556
The fireman killed the fire,Neutral sentence,50,New,3.545454545
The toddler slapped dad,Neutral sentence,50,New,-2.585365854
Harry caught the octopus,Neutral sentence,50,New,0.181818182
Baby chased the dog,Neutral sentence,50,New,0.414634146
The elephant caught the poacher,Neutral sentence,50,New,1.272727273
The officer crushed the car,Neutral sentence,50,New,-3.222222222
The baby hit the brick,Neutral sentence,50,New,-2.348837209
The dog jumped on Steve,Neutral sentence,50,New,-0.909090909
Claire dragged the car,Neutral sentence,50,New,-1.414634146
The baby kicked john,Neutral sentence,50,New,-1.75
The baby hit Mum,Neutral sentence,50,New,-2.046511628
The kitten chewed the lawnmower,Neutral sentence,50,New,-1.159090909
Sam hit the ball,Neutral sentence,50,New,1.931818182
Andy cut the paper,Neutral sentence,50,New,0.186046512
The pig was a male,Neutral sentence,50,New,0.071428571
The photographer shot the actor,Neutral sentence,50,New,-1.488372093
The bridge went over Claire,Neutral sentence,50,New,-1.113636364
The journalist followed the attacker,Neutral sentence,50,New,0.045454545
The bunny outwitted the hunter,Neutral sentence,50,New,2.681818182
The soldiers captured the terrorists,Neutral sentence,50,New,2.558139535
The cat licked Sally,Neutral sentence,50,New,2.255813953
The people ate the fish,Neutral sentence,50,New,1.404761905
The child scared the dog,Neutral sentence,50,New,-1.136363636
The child spun the washer,Neutral sentence,50,New,-0.068181818
The policeman tackled the criminal,Neutral sentence,50,New,2.022727273
The man ate the snake,Neutral sentence,50,New,-1.219512195
clothes closet,Neutral phrase,50,Sklar,0.636363636
apartment building,Neutral phrase,50,Sklar,0.522727273
tile roof,Neutral phrase,50,Sklar,0.511111111
cogwheel,Neutral phrase,50,Sklar,0.214285714
front door,Neutral phrase,50,Sklar,0.88372093
lined paper,Neutral phrase,50,Sklar,0.533333333
ironed shirt,Neutral phrase,50,Sklar,2.11627907
hand rail,Neutral phrase,50,Sklar,0.681818182
carpark,Neutral phrase,50,Sklar,0.181818182
paper clip,Neutral phrase,50,Sklar,0.431818182
gear shift,Neutral phrase,50,Sklar,0.325581395
helicopter pad,Neutral phrase,50,Sklar,0.674418605
computer screen,Neutral phrase,50,Sklar,0.886363636
pedestrian crossing,Neutral phrase,50,Sklar,0.613636364
body wash,Neutral phrase,50,Sklar,1.697674419
speed bumps,Neutral phrase,50,Sklar,-0.666666667
windshield,Neutral phrase,50,Sklar,0.454545455
wooden stool,Neutral phrase,50,Sklar,0.292682927
letterbox,Neutral phrase,50,New,0.522727273
backpack,Neutral phrase,50,Sklar,0.744186047
high ceiling,Neutral phrase,50,Sklar,0.813953488
tin opener,Neutral phrase,50,New,0.555555556
desk lamp,Neutral phrase,50,New,0.772727273
dining table,Neutral phrase,50,New,1.302325581
cardboard box,Neutral phrase,50,New,0.090909091
traffic light,Neutral phrase,50,New,0.363636364
The patient injected the nurse,Negative sentence,50,New,-3.511627907
The boar ate Bobby,Negative sentence,50,New,-4.658536585
The fire killed the fireman,Negative sentence,50,New,-4.837209302
Dad slapped the toddler,Negative sentence,50,New,-4.363636364
The octopus caught Harry,Negative sentence,50,New,-3.146341463
The dog chased baby,Negative sentence,50,New,-2.833333333
The poacher caught the elephant,Negative sentence,50,New,-4.048780488
The car crushed the officer,Negative sentence,50,New,-4.581395349
The brick hit the baby,Negative sentence,50,New,-4.243902439
